eventId,sessionId,playbackSecond,playbackOffsetMs,sourceElapsedSecond,timestampOffsetMs,sourceSubjectVisit,sourceSequence,synthetic,demoOnly,class1Softmax,movingAverage10,class,alertLevel,alertAction,alertRequired,notificationEvent,triggerReason,scenarioPhase
1_1_004_V2-000,demo-1_1_004_V2,0.0,0,0,0,1_1_004_V2,1,True,True,0.998551,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-001,demo-1_1_004_V2,0.083,83,10,10000,1_1_004_V2,1,True,True,0.901167,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-002,demo-1_1_004_V2,0.167,167,20,20000,1_1_004_V2,2,True,True,0.803784,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-003,demo-1_1_004_V2,0.25,250,30,30000,1_1_004_V2,2,True,True,0.6863,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-004,demo-1_1_004_V2,0.333,333,40,40000,1_1_004_V2,3,True,True,0.553918,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-005,demo-1_1_004_V2,0.417,417,50,50000,1_1_004_V2,3,True,True,0.440412,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-006,demo-1_1_004_V2,0.5,500,60,60000,1_1_004_V2,3,True,True,0.435016,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-007,demo-1_1_004_V2,0.583,583,70,70000,1_1_004_V2,4,True,True,0.42962,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-008,demo-1_1_004_V2,0.667,667,80,80000,1_1_004_V2,4,True,True,0.530639,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-009,demo-1_1_004_V2,0.75,750,90,90000,1_1_004_V2,5,True,True,0.672434,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-010,demo-1_1_004_V2,0.833,833,100,100000,1_1_004_V2,5,True,True,0.784461,,0,none,none,False,False,window_warming_up,window_warming_up
1_1_004_V2-011,demo-1_1_004_V2,0.917,917,110,110000,1_1_004_V2,6,True,True,0.826125,,0,none,none,False,False,window_warming_up,window_warming_up
